stimulus,gender,x,y,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_4.keys,key_resp_4.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate
POFA/fMRI_POFA/086a.tif,f,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,10-rosa,1,2020_Feb_25_1910,emofaces2,3.0.1,64.26940530214755
POFA/fMRI_POFA/094a.tif,f,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,10-rosa,1,2020_Feb_25_1910,emofaces2,3.0.1,64.26940530214755
POFA/fMRI_POFA/033a-sad.tif,m,,,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.5628014502171936,,,,,,,,,,,10-rosa,1,2020_Feb_25_1910,emofaces2,3.0.1,64.26940530214755
POFA/fMRI_POFA/067a.tif,f,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,10-rosa,1,2020_Feb_25_1910,emofaces2,3.0.1,64.26940530214755
POFA/fMRI_POFA/002a.tif,f,,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,10-rosa,1,2020_Feb_25_1910,emofaces2,3.0.1,64.26940530214755
POFA/fMRI_POFA/015a.tif,m,,,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.6250776851456976,,,,,,,,,,,10-rosa,1,2020_Feb_25_1910,emofaces2,3.0.1,64.26940530214755
POFA/fMRI_POFA/049a.tif,f,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,10-rosa,1,2020_Feb_25_1910,emofaces2,3.0.1,64.26940530214755
POFA/fMRI_POFA/058a.tif,f,,,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,10-rosa,1,2020_Feb_25_1910,emofaces2,3.0.1,64.26940530214755
POFA/fMRI_POFA/023a.tif,m,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.6108519246799915,,,,,,,,,,,10-rosa,1,2020_Feb_25_1910,emofaces2,3.0.1,64.26940530214755
POFA/fMRI_POFA/008a.tif,f,,,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,10-rosa,1,2020_Feb_25_1910,emofaces2,3.0.1,64.26940530214755
POFA/fMRI_POFA/028a.tif,m,,,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.5935304377126158,,,,,,,,,10-rosa,1,2020_Feb_25_1910,emofaces2,3.0.1,64.26940530214755
POFA/fMRI_POFA/041a.tif,m,,,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,0.828604626141896,,,,,,,,,10-rosa,1,2020_Feb_25_1910,emofaces2,3.0.1,64.26940530214755
POFA/fMRI_POFA/047a.tif,f,,,,,,,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.6253130410532322,,,,,,,,,10-rosa,1,2020_Feb_25_1910,emofaces2,3.0.1,64.26940530214755
POFA/fMRI_POFA/056a.tif,f,,,,,,,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,0.6097052282284494,,,,,,,,,10-rosa,1,2020_Feb_25_1910,emofaces2,3.0.1,64.26940530214755
POFA/fMRI_POFA/021a.tif,m,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,1.09415687373712,,,,,,,,,10-rosa,1,2020_Feb_25_1910,emofaces2,3.0.1,64.26940530214755
POFA/fMRI_POFA/013a.tif,f,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,1.1092582289629718,,,,,,,,,10-rosa,1,2020_Feb_25_1910,emofaces2,3.0.1,64.26940530214755
